Sonde serial number                          	R2030028
Balloon release date and time                	2021-04-03T00:00:07
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
 112     3.3       457  961.2  23.6 65.7  16.9 358   3.0 299.0 23.182090 120.375413 12.59     484    196
 113     3.3       460  960.8  23.6 65.8  16.8 358   2.9 299.0 23.182063 120.375416 12.58     487    196
 114     3.3       463  960.5  23.6 65.9  16.9 359   2.9 299.0 23.182035 120.375416 12.60     489    196
 115     3.4       467  960.1  23.5 66.2  16.9 359   2.9 299.0 23.182009 120.375414 12.63     492    196
 116     3.3       470  959.7  23.5 66.4  16.9 360   2.9 298.9 23.181984 120.375409 12.65     495    196
 117     3.3       473  959.4  23.5 66.6  16.9   0   2.9 298.9 23.181959 120.375404 12.67     498    196
 118     3.3       476  959.0  23.4 66.8  16.9   1   2.9 298.9 23.181933 120.375400 12.68     501    196
 119     3.3       480  958.6  23.4 67.1  17.0   2   2.9 298.8 23.181903 120.375400 12.70     504    196
 120     3.4       483  958.3  23.3 67.4  17.0   2   2.8 298.8 23.181871 120.375404 12.73     507    196
 121     3.7       487  957.9  23.3 67.7  17.0   3   2.8 298.7 23.181839 120.375410 12.76     511    196
 122     3.9       491  957.4  23.2 67.9  17.0   4   2.8 298.7 23.181809 120.375416 12.77     514    195
 123     3.8       495  957.0  23.2 68.0  17.0   5   2.8 298.7 23.181783 120.375419 12.77     516    195
 124     3.5       498  956.6  23.2 68.0  17.0   6   2.8 298.6 23.181760 120.375417 12.76     519    195
 125     3.3       501  956.3  23.2 68.0  17.0   6   2.8 298.6 23.181737 120.375411 12.75     521    195
 126     3.2       505  955.9  23.2 67.9  16.9   7   2.8 298.6 23.181711 120.375404 12.73     524    195
 127     3.2       508  955.6  23.2 67.5  16.9   8   2.8 298.6 23.181683 120.375398 12.67     528    195
 128     3.3       511  955.2  23.2 67.0  16.7   9   2.8 298.6 23.181656 120.375394 12.58     530    195
 129     3.5       515  954.8  23.2 66.3  16.6  10   2.8 298.6 23.181634 120.375389 12.47     533    195
 130     3.8       518  954.4  23.3 65.3  16.4  10   2.8 298.7 23.181616 120.375381 12.35     535    195
 131     3.9       522  954.0  23.4 64.3  16.3  11   2.8 298.7 23.181599 120.375369 12.22     537    195
 132     3.9       526  953.6  23.5 63.6  16.2  12   2.8 298.8 23.181580 120.375355 12.14     540    195
 133     3.5       530  953.2  23.5 63.1  16.1  13   2.8 298.9 23.181557 120.375341 12.10     543    195
 134     3.1       533  952.8  23.6 62.8  16.1  13   2.8 298.9 23.181531 120.375329 12.07     546    195
 135     2.7       535  952.6  23.6 62.5  16.0  14   2.7 298.9 23.181505 120.375319 12.05     549    196
 136     2.5       538  952.3  23.6 62.4  16.0  14   2.7 298.9 23.181478 120.375311 12.04     552    195
 137     2.6       541  952.0  23.6 62.3  16.0  15   2.7 299.0 23.181452 120.375305 12.04     555    195
 138     2.6       543  951.7  23.6 62.3  16.0  15   2.7 299.0 23.181426 120.375300 12.04     558    195
 139     2.6       546  951.4  23.6 62.4  16.0  16   2.7 298.9 23.181403 120.375295 12.06     560    195
 140     2.5       548  951.2  23.6 62.5  16.1  16   2.7 298.9 23.181382 120.375290 12.08     563    195
 141     2.5       551  950.9  23.6 62.6  16.1  16   2.7 298.9 23.181362 120.375285 12.09     565    195
 142     2.6       553  950.6  23.6 62.7  16.1  17   2.7 298.9 23.181341 120.375279 12.10     567    195
 143     2.8       556  950.3  23.6 62.8  16.1  17   2.7 298.9 23.181318 120.375271 12.12     570    195
 144     2.9       559  950.0  23.5 62.9  16.1  17   2.7 298.9 23.181295 120.375262 12.12     573    195
 145     2.8       562  949.7  23.5 62.8  16.1  17   2.7 298.9 23.181272 120.375253 12.10     575    195
 146     2.6       564  949.4  23.5 62.8  16.0  18   2.8 298.9 23.181249 120.375244 12.08     578    195
 147     2.4       567  949.1  23.5 62.8  16.0  18   2.8 298.8 23.181225 120.375236 12.07     581    195
 148     2.2       569  948.9  23.5 62.8  16.0  18   2.8 298.8 23.181202 120.375227 12.06     584    196
 149     2.1       571  948.7  23.5 62.8  16.0  18   2.8 298.8 23.181179 120.375217 12.05     586    196
 150     2.1       573  948.4  23.4 62.8  16.0  18   2.8 298.8 23.181155 120.375206 12.05     589    196
 151     2.1       576  948.2  23.4 62.8  16.0  18   2.8 298.8 23.181131 120.375195 12.05     592    196
 152     2.2       578  948.0  23.4 62.9  16.0  18   2.8 298.8 23.181106 120.375184 12.06     595    196
 153     2.2       580  947.7  23.4 63.0  16.0  18   2.8 298.7 23.181083 120.375173 12.07     598    196
 154     2.3       582  947.5  23.4 63.1  16.0  19   2.8 298.7 23.181060 120.375164 12.08     601    196
 155     2.5       585  947.2  23.4 63.2  16.0  19   2.8 298.7 23.181035 120.375155 12.08     603    196
 156     2.8       587  946.9  23.4 63.2  16.0  19   2.8 298.7 23.181010 120.375149 12.08     606    196
 157     2.9       590  946.6  23.3 63.3  16.0  19   2.8 298.7 23.180985 120.375144 12.09     609    196
 158     2.9       593  946.3  23.3 63.3  16.0  19   2.8 298.6 23.180959 120.375140 12.08     612    196
 159     2.8       596  946.0  23.3 63.4  16.0  19   2.8 298.6 23.180935 120.375136 12.08     615    196
 160     2.6       599  945.7  23.3 63.4  16.0  19   2.8 298.6 23.180911 120.375131 12.08     617    196
 161     2.4       601  945.4  23.3 63.5  16.0  19   2.8 298.6 23.180887 120.375124 12.09     620    196
 162     2.3       603  945.2  23.2 63.6  16.0  19   2.8 298.6 23.180863 120.375115 12.10     623    196
 163     2.2       606  945.0  23.2 63.7  16.0  19   2.8 298.5 23.180840 120.375104 12.09     626    196
