Sonde serial number                          	R2030542
Balloon release date and time                	2021-04-02T21:00:01
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
 168     4.3       832  919.4  21.5  67.5  15.2 356   2.2 296.7 23.179603 120.375386 11.87     753    191
 169     4.1       836  919.0  21.4  67.6  15.2 354   2.1 296.7 23.179589 120.375396 11.86     755    191
 170     4.0       840  918.6  21.4  67.7  15.2 352   2.1 296.7 23.179572 120.375405 11.86     756    191
 171     3.9       844  918.2  21.3  67.9  15.2 351   2.1 296.6 23.179555 120.375411 11.87     758    190
 172     4.0       848  917.8  21.3  68.0  15.2 349   2.1 296.6 23.179536 120.375414 11.87     760    190
 173     4.0       852  917.3  21.3  68.2  15.2 347   2.1 296.5 23.179517 120.375416 11.88     762    190
 174     4.0       856  916.9  21.2  68.4  15.2 345   2.1 296.5 23.179498 120.375417 11.90     764    190
 175     4.1       860  916.5  21.2  68.8  15.3 344   2.1 296.5 23.179478 120.375418 11.95     766    190
 176     4.3       864  916.0  21.2  69.4  15.4 342   2.1 296.5 23.179456 120.375420 12.03     769    190
 177     4.6       869  915.6  21.1  70.0  15.5 340   2.1 296.5 23.179434 120.375423 12.13     771    190
 178     4.9       874  915.0  21.1  70.6  15.6 339   2.1 296.5 23.179410 120.375429 12.22     773    190
 179     5.1       879  914.5  21.1  70.9  15.6 337   2.1 296.4 23.179388 120.375437 12.25     776    190
 180     4.9       884  914.0  21.0  70.9  15.6 336   2.1 296.4 23.179367 120.375447 12.22     778    190
 181     4.7       889  913.5  21.0  70.8  15.5 334   2.1 296.3 23.179347 120.375457 12.18     780    190
 182     4.5       893  913.0  20.9  70.8  15.5 333   2.1 296.3 23.179329 120.375466 12.15     782    190
 183     4.3       897  912.6  20.9  70.7  15.4 331   2.1 296.2 23.179314 120.375474 12.13     783    190
 184     4.1       901  912.1  20.9  70.8  15.4 330   2.1 296.2 23.179301 120.375482 12.13     784    190
 185     3.8       905  911.7  20.8  71.0  15.4 329   2.1 296.2 23.179290 120.375494 12.14     785    189
 186     3.5       909  911.4  20.8  71.1  15.4 328   2.1 296.2 23.179278 120.375508 12.15     787    189
 187     3.2       912  911.1  20.8  71.2  15.4 326   2.1 296.1 23.179263 120.375524 12.15     788    189
 188     3.1       915  910.7  20.8  71.3  15.4 325   2.1 296.1 23.179246 120.375541 12.15     789    189
 189     3.2       918  910.4  20.7  71.5  15.4 324   2.1 296.1 23.179227 120.375557 12.17     791    189
 190     3.2       921  910.0  20.7  71.7  15.4 324   2.1 296.0 23.179209 120.375575 12.18     793    189
 191     3.1       924  909.7  20.7  71.7  15.4 323   2.1 296.0 23.179193 120.375592 12.18     794    189
 192     3.0       927  909.4  20.7  71.8  15.4 322   2.1 296.0 23.179179 120.375608 12.17     796    188
 193     2.9       930  909.1  20.6  71.8  15.4 321   2.0 296.0 23.179166 120.375622 12.16     797    188
 194     2.9       933  908.8  20.6  71.8  15.3 321   2.0 295.9 23.179155 120.375634 12.13     798    188
 195     2.9       936  908.5  20.6  71.6  15.3 320   2.0 295.9 23.179143 120.375646 12.09     799    188
 196     3.0       939  908.2  20.6  71.4  15.2 320   2.0 295.9 23.179130 120.375658 12.06     800    188
 197     3.0       942  907.9  20.6  71.2  15.2 320   2.0 295.9 23.179118 120.375672 12.02     802    188
 198     3.1       945  907.5  20.6  70.9  15.1 320   1.9 295.8 23.179104 120.375686 11.96     803    188
 199     3.2       949  907.2  20.5  70.5  15.0 320   1.9 295.8 23.179091 120.375700 11.89     804    188
 200     3.3       952  906.8  20.6  69.9  14.9 319   1.9 295.8 23.179076 120.375714 11.81     805    188
 201     3.3       955  906.5  20.6  69.4  14.8 320   1.8 295.8 23.179060 120.375728 11.75     807    187
 202     3.2       958  906.2  20.6  69.1  14.8 320   1.8 295.9 23.179043 120.375741 11.71     809    187
 203     3.0       961  905.8  20.6  68.8  14.7 320   1.8 295.9 23.179026 120.375754 11.67     810    187
 204     2.8       964  905.6  20.6  68.4  14.6 320   1.7 295.9 23.179010 120.375766 11.61     812    187
 205     2.8       967  905.3  20.7  67.9  14.5 321   1.7 295.9 23.178997 120.375777 11.54     813    187
 206     3.0       970  905.0  20.7  67.2  14.4 322   1.6 295.9 23.178986 120.375787 11.46     814    187
 207     3.1       973  904.6  20.7  66.5  14.3 322   1.6 295.9 23.178975 120.375796 11.36     815    187
 208     3.1       976  904.3  20.8  65.8  14.2 323   1.6 295.9 23.178965 120.375804 11.27     817    187
 209     3.1       979  904.0  20.8  65.3  14.0 324   1.5 295.9 23.178956 120.375811 11.19     817    187
 210     3.1       982  903.7  20.8  65.1  14.0 325   1.5 295.9 23.178948 120.375819 11.16     818    187
 211     3.1       985  903.3  20.8  65.0  14.0 327   1.4 295.9 23.178943 120.375827 11.14     819    187
