Sonde serial number                          	S2251087
Balloon release date and time                	2021-04-01T12:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P Temp   RH Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa   °C    %   °C   °   m/s     K         °          °  g/kg       m      °
  99     4.3       527  950.0 22.5 89.2 20.7 256   0.3 298.6 23.185974 120.377226 16.28      59    127
 100     4.8       532  949.6 22.5 89.1 20.6 263   0.2 298.6 23.185975 120.377235 16.25      60    127
 101     4.6       536  949.1 22.5 89.0 20.6 279   0.1 298.6 23.185974 120.377245 16.22      61    126
 102     3.0       539  948.6 22.5 88.7 20.5   0   0.0 298.5 23.185974 120.377256 16.16      62    125
 103     3.1       542  948.2 22.5 88.3 20.4   6   0.1 298.5 23.185974 120.377268 16.09      63    125
 104     4.3       547  947.8 22.5 88.1 20.4  29   0.2 298.5 23.185973 120.377280 16.06      64    124
 105     4.3       551  947.3 22.5 88.1 20.4  40   0.3 298.5 23.185968 120.377288 16.07      65    124
 106     3.7       555  946.9 22.5 88.4 20.4  45   0.3 298.5 23.185960 120.377291 16.11      65    125
 107     4.2       559  946.4 22.4 88.8 20.5  49   0.4 298.5 23.185953 120.377289 16.16      66    125
 108     4.4       563  946.0 22.4 89.0 20.5  52   0.5 298.5 23.185949 120.377284 16.19      65    126
 109     4.3       568  945.5 22.4 88.9 20.5  55   0.6 298.5 23.185949 120.377276 16.17      65    126
 110     4.3       572  945.0 22.4 88.6 20.4  57   0.6 298.4 23.185950 120.377267 16.12      64    127
 111     4.2       576  944.6 22.3 88.5 20.4  60   0.7 298.4 23.185947 120.377253 16.08      63    128
 112     5.2       581  944.1 22.3 88.6 20.3  62   0.7 298.3 23.185943 120.377236 16.06      62    129
 113     4.7       586  943.6 22.3 88.8 20.3  64   0.8 298.3 23.185940 120.377219 16.05      61    130
 114     4.0       590  943.1 22.2 88.9 20.3  66   0.8 298.3 23.185937 120.377200 16.04      60    132
 115     4.2       594  942.6 22.2 89.1 20.3  69   0.9 298.2 23.185934 120.377181 16.05      58    133
 116     4.8       599  942.1 22.1 89.4 20.3  71   0.9 298.2 23.185927 120.377164 16.06      58    135
 117     4.4       603  941.6 22.1 89.6 20.3  74   0.9 298.1 23.185915 120.377148 16.08      57    137
 118     4.3       608  941.2 22.1 89.9 20.3  77   0.9 298.1 23.185901 120.377135 16.11      58    139
 119     5.6       613  940.7 22.0 90.3 20.4  81   0.9 298.1 23.185885 120.377123 16.15      58    141
 120     5.4       619  940.2 22.0 90.4 20.4  85   0.9 298.1 23.185872 120.377108 16.17      59    143
 121     3.5       622  939.7 22.0 90.1 20.3  89   0.9 298.1 23.185861 120.377091 16.11      59    145
 122     3.2       625  939.3 22.0 89.6 20.2  93   0.9 298.0 23.185852 120.377078 16.04      59    147
 123     3.7       629  938.8 22.0 89.4 20.2  98   0.9 298.0 23.185846 120.377069 16.01      59    148
 124     4.2       633  938.3 22.0 89.5 20.2 104   0.9 298.0 23.185842 120.377060 16.03      59    149
 125     4.9       638  937.9 22.0 89.9 20.2 110   0.9 298.0 23.185840 120.377050 16.08      58    150
 126     4.8       643  937.4 21.9 90.3 20.3 116   0.9 298.0 23.185840 120.377035 16.14      58    151
 127     4.2       647  936.9 21.9 90.7 20.3 122   0.9 298.0 23.185844 120.377017 16.18      56    153
 128     4.6       652  936.4 21.9 90.9 20.3 128   0.9 297.9 23.185853 120.377002 16.18      55    154
 129     5.5       657  936.0 21.8 90.9 20.3 134   1.0 297.9 23.185867 120.376991 16.16      53    154
 130     4.4       662  935.5 21.8 90.7 20.2 140   1.0 297.8 23.185884 120.376987 16.10      51    154
 131     3.7       665  935.0 21.8 90.6 20.2 146   1.0 297.8 23.185904 120.376986 16.05      49    153
 132     4.0       669  934.6 21.7 90.6 20.1 151   1.1 297.8 23.185924 120.376986 16.04      47    151
 133     4.6       674  934.1 21.7 90.8 20.2 155   1.1 297.8 23.185943 120.376985 16.06      45    150
 134     4.4       678  933.7 21.7 90.9 20.1 159   1.2 297.7 23.185960 120.376981 16.05      43    149
 135     4.0       682  933.2 21.7 90.8 20.1 163   1.3 297.7 23.185975 120.376977 16.02      42    149
 136     3.6       686  932.8 21.6 90.9 20.1 166   1.3 297.7 23.185989 120.376973 16.02      40    148
 137     4.2       690  932.4 21.6 91.1 20.1 169   1.4 297.6 23.186003 120.376970 16.03      39    147
 138     3.2       693  932.0 21.6 90.9 20.1 172   1.4 297.6 23.186015 120.376972 16.00      38    146
 139     3.0       696  931.6 21.6 90.5 20.0 174   1.5 297.6 23.186025 120.376978 15.93      37    144
 140     3.6       700  931.2 21.6 90.0 19.9 176   1.5 297.6 23.186047 120.376982 15.84      35    141
 141     4.0       704  930.8 21.6 89.4 19.8 178   1.6 297.6 23.186071 120.376990 15.74      34    137
 142     3.9       708  930.4 21.6 88.8 19.7 179   1.6 297.6 23.186094 120.377003 15.66      33    133
 143     3.9       712  930.0 21.6 88.4 19.6 181   1.7 297.6 23.186118 120.377017 15.60      32    127
9998     4.1       716  929.6 21.6 88.0 19.6 182   1.7 297.6 23.186142 120.377031 15.55      32    122

