Sonde serial number                          	S2251154
Balloon release date and time                	2021-04-01T10:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
 139     5.3       836  916.1  23.3 54.9  13.8 210   2.5 298.5 23.186561 120.378645 10.81     196     84
 140     6.1       842  915.5  23.3 54.3  13.6 209   2.5 298.4 23.186590 120.378659 10.69     198     83
 141     7.9       850  914.8  23.3 53.4  13.4 209   2.5 298.4 23.186624 120.378675 10.53     200     82
 142     6.0       856  914.1  23.3 53.3  13.3 208   2.5 298.3 23.186660 120.378692 10.49     203     81
 143     7.0       863  913.5  23.2 53.9  13.4 208   2.5 298.3 23.186693 120.378705 10.59     205     80
 144     5.9       868  912.8  23.2 55.3  13.8 207   2.5 298.3 23.186720 120.378714 10.82     206     79
 145     4.6       873  912.1  23.1 57.4  14.2 207   2.4 298.3 23.186736 120.378722 11.19     207     78
 146     7.1       880  911.5  23.0 59.6  14.7 206   2.4 298.2 23.186745 120.378733 11.56     208     78
 147     6.8       887  910.8  22.9 61.0  15.0 205   2.4 298.2 23.186753 120.378746 11.80     210     78
 148     6.8       894  910.1  22.8 62.1  15.2 204   2.4 298.1 23.186764 120.378758 11.96     211     78
 149     6.6       900  909.4  22.7 64.2  15.6 204   2.4 298.1 23.186778 120.378768 12.30     213     78
 150     7.3       908  908.8  22.6 66.8  16.1 203   2.4 298.0 23.186794 120.378778 12.72     214     77
 151     5.6       913  908.1  22.5 68.4  16.4 202   2.4 297.9 23.186812 120.378789 12.95     216     77
 152     7.0       920  907.4  22.4 68.8  16.4 201   2.3 297.9 23.186835 120.378800 12.98     217     76
 153     6.7       927  906.7  22.3 69.0  16.4 200   2.3 297.8 23.186860 120.378809 12.98     219     75
 154     5.2       932  906.1  22.3 69.7  16.5 199   2.3 297.8 23.186885 120.378814 13.07     220     75
 155     6.6       939  905.4  22.2 70.5  16.6 198   2.3 297.7 23.186906 120.378815 13.18     221     74
 156     6.1       945  904.8  22.2 70.9  16.6 197   2.4 297.7 23.186923 120.378814 13.22     221     74
 157     7.1       952  904.1  22.1 71.1  16.6 197   2.4 297.6 23.186938 120.378813 13.23     222     73
 158     6.9       959  903.5  22.0 71.7  16.7 196   2.4 297.6 23.186952 120.378811 13.30     222     73
 159     5.2       964  902.8  22.0 72.8  16.9 195   2.4 297.5 23.186966 120.378809 13.46     222     72
 160     5.5       970  902.2  21.9 74.5  17.2 195   2.4 297.5 23.186979 120.378810 13.72     223     72
 161     6.6       976  901.5  21.8 75.7  17.4 194   2.5 297.5 23.186993 120.378813 13.91     223     72
 162     6.5       983  900.9  21.7 76.7  17.5 194   2.5 297.4 23.187009 120.378821 14.04     225     71
 163     6.0       989  900.3  21.7 77.6  17.6 193   2.5 297.4 23.187031 120.378832 14.16     227     71
 164     5.8       994  899.6  21.6 78.5  17.7 193   2.6 297.3 23.187059 120.378840 14.28     228     70
 165     6.2      1001  899.0  21.5 79.3  17.8 192   2.6 297.3 23.187089 120.378845 14.38     230     70
 166     6.2      1007  898.3  21.5 79.9  17.9 192   2.7 297.2 23.187117 120.378850 14.45     232     69
 167     7.0      1014  897.7  21.4 80.4  17.9 192   2.7 297.2 23.187142 120.378856 14.49     233     68
 168     6.3      1020  897.0  21.4 80.5  17.9 191   2.8 297.1 23.187167 120.378860 14.48     235     68
 169     6.6      1027  896.4  21.3 80.6  17.8 191   2.8 297.1 23.187191 120.378862 14.45     236     67
 170     5.8      1033  895.7  21.3 80.7  17.8 191   2.9 297.0 23.187213 120.378861 14.45     237     67
 171     6.0      1039  895.1  21.2 80.9  17.8 191   2.9 296.9 23.187234 120.378862 14.45     238     66
 172     5.4      1044  894.4  21.2 80.9  17.8 190   2.9 296.9 23.187256 120.378866 14.43     239     66
 173     7.4      1051  893.7  21.1 80.9  17.7 190   3.0 296.9 23.187282 120.378872 14.39     241     65
 174     7.8      1059  893.1  21.1 80.9  17.7 189   3.0 296.8 23.187312 120.378878 14.37     243     64
 175     6.2      1065  892.4  21.0 81.2  17.7 189   3.0 296.8 23.187344 120.378885 14.40     245     64
 176     6.0      1071  891.7  21.0 81.9  17.8 188   3.1 296.7 23.187378 120.378897 14.49     248     63
 177     7.2      1079  891.0  20.9 82.6  17.9 188   3.1 296.7 23.187414 120.378912 14.60     251     62
 178     5.9      1084  890.4  20.9 83.0  17.9 187   3.1 296.7 23.187453 120.378929 14.66     255     62
 179     6.3      1091  889.7  21.0 82.7  17.9 186   3.1 296.8 23.187493 120.378944 14.67     258     61
 180     7.8      1099  889.0  21.1 82.0  17.9 185   3.2 296.8 23.187531 120.378955 14.63     261     60
 181     5.4      1104  888.3  21.1 81.5  17.8 185   3.2 296.9 23.187564 120.378963 14.57     264     60
 182     8.3      1112  887.6  21.1 81.4  17.8 183   3.2 296.9 23.187592 120.378972 14.56     266     59
 183     5.8      1118  887.0  21.1 81.4  17.8 182   3.2 296.8 23.187616 120.378978 14.55     268     59
 184     7.8      1126  886.3  21.0 81.5  17.8 181   3.2 296.8 23.187637 120.378979 14.55     269     58
 185     5.5      1131  885.7  21.0 81.5  17.7 180   3.2 296.8 23.187657 120.378974 14.53     270     58
 186     5.2      1137  885.0  21.0 81.5  17.7 179   3.3 296.7 23.187677 120.378964 14.51     270     57
 187     6.2      1143  884.4  21.0 81.7  17.7 177   3.3 296.7 23.187702 120.378958 14.55     271     57
 188     6.4      1149  883.8  20.9 82.0  17.8 176   3.3 296.7 23.187733 120.378958 14.61     273     56
 189     6.3      1155  883.1  20.9 82.2  17.8 175   3.3 296.7 23.187771 120.378959 14.62     276     56
 190     5.7      1161  882.5  20.9 82.4  17.8 173   3.3 296.6 23.187813 120.378957 14.64     278     55
 191     5.7      1167  881.8  20.8 82.6  17.8 172   3.4 296.6 23.187853 120.378948 14.65     280     54
 192     6.6      1173  881.2  20.8 82.8  17.8 171   3.4 296.6 23.187885 120.378936 14.68     281     53
 193     8.7      1182  880.5  20.8 83.0  17.8 169   3.4 296.6 23.187908 120.378927 14.72     282     53
 194     6.3      1188  879.8  20.8 83.1  17.8 168   3.4 296.6 23.187924 120.378921 14.72     282     52
 195     7.0      1195  879.2  20.7 83.1  17.8 167   3.5 296.5 23.187938 120.378915 14.70     283     52
 196     6.9      1202  878.5  20.7 83.2  17.7 166   3.5 296.5 23.187956 120.378908 14.68     284     52
 197     6.4      1209  877.9  20.7 83.2  17.7 165   3.5 296.4 23.187983 120.378899 14.67     285     51
 198     5.5      1214  877.3  20.6 83.2  17.7 165   3.5 296.4 23.188018 120.378891 14.66     287     50
 199     5.4      1220  876.6  20.6 83.3  17.7 164   3.6 296.4 23.188057 120.378882 14.66     289     49
 200     5.7      1225  876.0  20.6 83.6  17.7 164   3.6 296.3 23.188094 120.378871 14.68     291     49
 201     6.0      1231  875.4  20.5 83.8  17.7 163   3.6 296.3 23.188130 120.378857 14.70     292     48
 202     6.1      1237  874.8  20.5 84.0  17.7 163   3.6 296.3 23.188168 120.378839 14.72     294     47
 203     6.4      1244  874.2  20.5 84.1  17.7 163   3.6 296.3 23.188208 120.378819 14.74     295     46
 204     6.3      1250  873.6  20.5 84.1  17.7 163   3.6 296.3 23.188251 120.378800 14.74     297     45
 205     5.6      1256  873.0  20.5 84.0  17.7 163   3.6 296.3 23.188291 120.378780 14.72     299     44
 206     6.4      1262  872.4  20.5 83.8  17.7 163   3.6 296.3 23.188325 120.378759 14.72     300     44
