100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20201120_09:14:16.60,99.9,99.9,999.9,001,0.00,-0.37,0.24,0.44,180.00,0.73,0.00,0.29,0.79,90.00,0.37,-0.73,0.24,0.85,153.43,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.59,0.94,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.49,0.88,0.00,0.37,0.00,0.44,0.57,90.00,0.37,0.00,0.44,0.57,90.00
20201120_09:14:17.12,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.73,0.37,0.34,0.89,63.43,0.37,-0.73,0.24,0.85,153.43,0.00,0.00,0.39,0.39,0.00,0.00,1.10,0.64,1.27,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.49,0.88,0.00,0.37,0.00,0.44,0.57,90.00,0.37,0.00,0.44,0.57,90.00
20201120_09:14:17.65,99.9,99.9,999.9,001,0.00,0.18,0.22,0.29,0.00,0.73,0.37,0.34,0.89,63.43,0.37,-0.73,0.24,0.85,153.43,0.00,0.00,0.39,0.39,0.00,0.37,1.10,0.59,1.30,18.43,0.00,0.73,0.49,0.88,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.49,0.88,0.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:14:18.18,99.9,99.9,999.9,001,0.00,0.18,0.22,0.29,0.00,0.73,0.37,0.34,0.89,63.43,0.37,-0.73,0.24,0.85,153.43,0.00,0.00,0.39,0.39,0.00,0.37,1.10,0.59,1.30,18.43,0.00,0.73,0.49,0.88,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.73,0.49,0.88,0.00,0.37,0.00,0.44,0.57,90.00,0.37,0.18,0.47,0.62,63.43
20201120_09:14:18.71,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.73,0.00,0.39,0.83,90.00,0.37,-0.73,0.24,0.85,153.43,0.00,0.00,0.39,0.39,0.00,0.37,1.10,0.59,1.30,18.43,0.37,0.37,0.49,0.71,45.00,0.00,0.37,0.44,0.57,0.00,0.37,-0.37,0.39,0.65,135.00,0.37,0.37,0.49,0.71,45.00,0.73,0.00,0.49,0.88,90.00
20201120_09:14:19.23,99.9,99.9,999.9,001,0.00,0.18,0.22,0.29,0.00,0.73,0.00,0.39,0.83,90.00,0.37,-1.10,0.20,1.17,161.57,0.37,-1.46,0.15,1.51,165.96,0.37,1.10,0.59,1.30,18.43,0.37,0.00,0.44,0.57,90.00,0.00,0.73,0.49,0.88,0.00,0.37,-0.37,0.39,0.65,135.00,0.37,0.37,0.49,0.71,45.00,0.73,0.00,0.49,0.88,90.00
20201120_09:14:19.76,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.73,0.00,0.39,0.83,90.00,0.37,-1.10,0.20,1.17,161.57,0.37,-1.46,0.15,1.51,165.96,0.37,1.10,0.59,1.30,18.43,0.00,0.37,0.44,0.57,0.00,0.37,0.73,0.54,0.98,26.57,0.37,-0.37,0.39,0.65,135.00,0.00,0.73,0.49,0.88,0.00,0.37,0.18,0.47,0.62,63.43
20201120_09:14:20.29,99.9,99.9,999.9,001,0.00,0.55,0.27,0.61,0.00,0.73,0.00,0.39,0.83,90.00,0.37,-1.10,0.20,1.17,161.57,0.37,-1.46,0.15,1.51,165.96,0.37,1.10,0.59,1.30,18.43,0.00,0.00,0.39,0.39,0.00,0.37,0.73,0.54,0.98,26.57,0.55,0.00,0.47,0.72,90.00,0.00,0.91,0.51,1.05,0.00,0.73,0.00,0.49,0.88,90.00
20201120_09:14:20.81,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.73,0.00,0.39,0.83,90.00,0.73,-0.73,0.29,1.07,135.00,0.00,-0.37,0.34,0.50,180.00,0.73,0.73,0.59,1.19,45.00,0.37,0.00,0.44,0.57,90.00,0.37,0.00,0.44,0.57,90.00,0.55,0.00,0.47,0.72,90.00,0.37,0.73,0.54,0.98,26.57,1.28,0.00,0.56,1.40,90.00
20201120_09:14:21.34,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.73,-0.37,0.34,0.89,116.57,0.37,-0.73,0.24,0.85,153.43,0.00,-0.37,0.34,0.50,180.00,0.73,0.73,0.59,1.19,45.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00,0.37,0.00,0.44,0.57,90.00,0.00,0.73,0.49,0.88,0.00,1.10,0.00,0.54,1.22,90.00
20201120_09:14:21.87,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.73,-0.37,0.34,0.89,116.57,0.37,-0.73,0.24,0.85,153.43,0.37,-0.37,0.29,0.59,135.00,1.10,0.73,0.64,1.46,56.31,0.00,0.00,0.39,0.39,0.00,0.37,0.37,0.49,0.71,45.00,0.73,0.00,0.49,0.88,90.00,0.00,0.73,0.49,0.88,0.00,1.10,0.37,0.59,1.30,71.57
20201120_09:14:22.39,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.73,-0.37,0.34,0.89,116.57,0.37,-0.73,0.24,0.85,153.43,0.00,-0.37,0.34,0.50,180.00,0.73,0.73,0.59,1.19,45.00,0.00,0.37,0.44,0.57,0.00,0.00,0.37,0.44,0.57,0.00,0.37,0.00,0.44,0.57,90.00,0.00,0.73,0.49,0.88,0.00,0.73,0.37,0.54,0.98,63.43
20201120_09:14:22.92,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.37,-0.37,0.29,0.59,135.00,0.37,-0.73,0.24,0.85,153.43,0.00,0.00,0.39,0.39,0.00,0.73,0.73,0.59,1.19,45.00,0.00,0.37,0.44,0.57,0.00,0.00,0.73,0.49,0.88,0.00,0.37,0.00,0.44,0.57,90.00,0.00,0.73,0.49,0.88,0.00,0.73,0.37,0.54,0.98,63.43
20201120_09:14:23.45,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.73,-0.37,0.34,0.89,116.57,0.37,-0.37,0.20,0.55,135.00,0.00,0.00,0.39,0.39,0.00,0.73,0.73,0.59,1.19,45.00,0.00,0.37,0.44,0.57,0.00,0.37,0.73,0.54,0.98,26.57,0.37,0.00,0.44,0.57,90.00,0.00,0.73,0.49,0.88,0.00,0.73,0.37,0.54,0.98,63.43
20201120_09:14:23.97,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.37,-0.37,0.29,0.59,135.00,0.37,-0.37,0.20,0.55,135.00,0.00,-0.37,0.34,0.50,180.00,0.73,0.73,0.59,1.19,45.00,0.00,0.37,0.44,0.57,0.00,0.37,0.73,0.54,0.98,26.57,0.37,0.37,0.39,0.65,45.00,0.00,0.73,0.49,0.88,0.00,0.73,0.37,0.54,0.98,63.43
20201120_09:14:24.50,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.37,0.00,0.24,0.44,90.00,0.37,-0.37,0.20,0.55,135.00,0.00,-0.37,0.34,0.50,180.00,0.73,0.73,0.59,1.19,45.00,0.00,0.37,0.44,0.57,0.00,0.37,0.73,0.54,0.98,26.57,0.37,0.00,0.44,0.57,90.00,0.00,0.73,0.49,0.88,0.00,0.73,0.37,0.54,0.98,63.43
20201120_09:14:25.03,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.37,0.00,0.24,0.44,90.00,0.37,-0.37,0.20,0.55,135.00,0.00,-0.37,0.34,0.50,180.00,1.10,0.73,0.64,1.46,56.31,0.00,0.37,0.44,0.57,0.00,0.37,0.73,0.54,0.98,26.57,0.37,0.37,0.39,0.65,45.00,0.00,0.37,0.44,0.57,0.00,0.73,0.37,0.54,0.98,63.43
20201120_09:14:25.56,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.37,0.00,0.24,0.44,90.00,0.37,-0.37,0.20,0.55,135.00,0.00,0.00,0.39,0.39,0.00,0.73,1.10,0.64,1.46,33.69,0.00,0.37,0.44,0.57,0.00,0.37,0.73,0.54,0.98,26.57,0.37,0.37,0.39,0.65,45.00,0.00,0.37,0.44,0.57,0.00,0.73,0.18,0.61,0.97,75.96
20201120_09:14:26.08,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.37,-0.37,0.29,0.59,135.00,0.37,-0.37,0.20,0.55,135.00,0.00,0.00,0.39,0.39,0.00,1.10,1.10,0.69,1.70,45.00,0.00,0.73,0.39,0.83,0.00,0.00,0.73,0.49,0.88,0.00,0.00,0.37,0.34,0.50,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.37,0.54,0.65,0.00
20201120_09:14:26.61,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.73,-0.37,0.34,0.89,116.57,0.37,-0.37,0.20,0.55,135.00,0.00,0.00,0.39,0.39,0.00,1.10,1.10,0.69,1.70,45.00,0.00,1.10,0.44,1.18,0.00,0.00,0.73,0.49,0.88,0.00,0.37,0.37,0.39,0.65,45.00,0.00,0.37,0.44,0.57,0.00,0.37,0.00,0.54,0.65,90.00
20201120_09:14:27.14,99.9,99.9,999.9,001,0.00,-0.37,0.24,0.44,180.00,0.37,-0.37,0.29,0.59,135.00,0.00,-0.37,0.24,0.44,180.00,0.00,0.00,0.39,0.39,0.00,-0.37,1.10,0.59,1.30,341.57,0.00,0.73,0.49,0.88,0.00,0.00,0.73,0.49,0.88,0.00,-0.18,0.73,0.37,0.84,345.96,0.00,0.18,0.42,0.45,0.00,0.00,-0.37,0.44,0.57,180.00
20201120_09:14:27.66,99.9,99.9,999.9,001,0.37,-0.37,0.29,0.59,135.00,0.37,-0.37,0.29,0.59,135.00,0.73,0.00,0.29,0.79,90.00,0.00,0.00,0.39,0.39,0.00,0.73,0.37,0.64,1.04,63.43,0.37,0.37,0.49,0.71,45.00,0.37,0.37,0.49,0.71,45.00,0.18,0.73,0.42,0.86,14.04,0.00,0.00,0.39,0.39,0.00,0.55,0.00,0.47,0.72,90.00
20201120_09:14:28.19,99.9,99.9,999.9,001,0.37,-0.37,0.29,0.59,135.00,1.46,-0.37,0.44,1.57,104.04,1.10,0.00,0.44,1.18,90.00,0.00,0.00,0.39,0.39,0.00,0.73,0.37,0.64,1.04,63.43,0.37,0.37,0.49,0.71,45.00,0.37,0.00,0.44,0.57,90.00,0.18,0.73,0.42,0.86,14.04,0.00,0.00,0.39,0.39,0.00,0.55,-0.37,0.51,0.84,123.69
20201120_09:14:28.72,99.9,99.9,999.9,001,0.37,-0.37,0.29,0.59,135.00,0.37,-0.37,0.29,0.59,135.00,0.37,0.00,0.34,0.50,90.00,0.00,0.00,0.39,0.39,0.00,0.73,0.37,0.64,1.04,63.43,0.37,0.37,0.49,0.71,45.00,0.00,0.00,0.39,0.39,0.00,0.18,0.73,0.42,0.86,14.04,0.00,0.00,0.49,0.49,0.00,0.73,-0.37,0.54,0.98,116.57
20201120_09:14:29.24,99.9,99.9,999.9,001,0.37,-0.37,0.29,0.59,135.00,0.37,-0.37,0.29,0.59,135.00,0.37,-0.37,0.39,0.65,135.00,0.00,0.00,0.39,0.39,0.00,-0.37,0.37,0.49,0.71,315.00,-0.37,0.37,0.49,0.71,315.00,0.00,0.00,0.39,0.39,0.00,-0.37,0.73,0.34,0.89,333.43,-0.37,0.00,0.44,0.57,270.00,0.37,-0.37,0.59,0.78,135.00
20201120_09:14:29.77,99.9,99.9,999.9,001,0.00,-0.37,0.34,0.50,180.00,0.37,-0.37,0.29,0.59,135.00,0.73,-0.37,0.34,0.89,116.57,-0.37,0.00,0.44,0.57,270.00,-0.37,0.37,0.49,0.71,315.00,-0.37,0.37,0.49,0.71,315.00,-0.37,0.00,0.44,0.57,270.00,1.10,0.73,0.44,1.39,56.31,-0.37,0.00,0.44,0.57,270.00,0.37,-0.37,0.59,0.78,135.00
20201120_09:14:30.30,99.9,99.9,999.9,001,0.00,-0.37,0.34,0.50,180.00,0.37,0.00,0.24,0.44,90.00,0.37,-0.37,0.29,0.59,135.00,-0.37,0.00,0.44,0.57,270.00,-0.37,0.37,0.49,0.71,315.00,-0.37,0.37,0.49,0.71,315.00,-0.37,0.00,0.44,0.57,270.00,0.37,0.73,0.54,0.98,26.57,-0.37,0.00,0.44,0.57,270.00,0.37,-0.37,0.59,0.78,135.00
20201120_09:14:30.83,99.9,99.9,999.9,001,0.00,-0.37,0.34,0.50,180.00,1.10,0.00,0.15,1.11,90.00,0.37,-0.37,0.29,0.59,135.00,-0.37,0.00,0.44,0.57,270.00,-0.37,0.37,0.49,0.71,315.00,-0.37,0.37,0.49,0.71,315.00,-0.37,0.00,0.44,0.57,270.00,1.10,0.73,0.44,1.39,56.31,-0.37,0.00,0.44,0.57,270.00,0.37,-0.37,0.59,0.78,135.00
20201120_09:14:31.35,99.9,99.9,999.9,001,0.00,-0.37,0.34,0.50,180.00,1.10,0.00,0.15,1.11,90.00,0.73,-0.37,0.24,0.85,116.57,0.00,0.00,0.39,0.39,0.00,-0.37,0.00,0.54,0.65,270.00,-0.37,0.37,0.49,0.71,315.00,0.00,0.00,0.39,0.39,0.00,1.10,0.37,0.49,1.26,71.57,-0.37,0.18,0.47,0.62,296.57,0.37,-0.37,0.59,0.78,135.00
20201120_09:14:31.88,99.9,99.9,999.9,001,0.00,-0.37,0.34,0.50,180.00,0.37,0.00,0.24,0.44,90.00,0.37,-0.37,0.29,0.59,135.00,0.00,-0.37,0.44,0.57,180.00,-0.37,0.00,0.54,0.65,270.00,-0.37,0.18,0.47,0.62,296.57,-0.37,-0.37,0.49,0.71,225.00,0.37,-0.73,0.54,0.98,153.43,-0.37,-0.18,0.51,0.66,243.43,0.00,0.00,0.59,0.59,0.00
20201120_09:14:32.41,99.9,99.9,999.9,001,0.00,-0.55,0.32,0.63,180.00,0.37,0.00,0.24,0.44,90.00,0.37,-1.46,0.15,1.51,165.96,0.00,-0.37,0.44,0.57,180.00,-1.10,1.10,0.78,1.74,315.00,-0.37,-0.37,0.49,0.71,225.00,-0.37,0.37,0.59,0.78,315.00,-0.37,-0.73,0.64,1.04,206.57,-0.37,-0.37,0.49,0.71,225.00,0.00,0.37,0.64,0.73,0.00
20201120_09:14:32.93,99.9,99.9,999.9,001,0.00,-0.37,0.24,0.44,180.00,0.37,0.00,0.24,0.44,90.00,0.37,-1.46,0.15,1.51,165.96,0.00,-1.10,0.34,1.15,180.00,-1.10,1.46,0.83,2.01,323.13,-0.37,-0.37,0.49,0.71,225.00,-0.37,0.37,0.59,0.78,315.00,-0.37,-0.73,0.64,1.04,206.57,-0.37,-0.37,0.49,0.71,225.00,0.00,0.37,0.64,0.73,0.00
20201120_09:14:33.46,99.9,99.9,999.9,001,0.00,-0.37,0.24,0.44,180.00,0.37,0.00,0.34,0.50,90.00,0.37,-0.37,0.29,0.59,135.00,0.37,-0.73,0.34,0.89,153.43,-1.10,1.46,0.83,2.01,323.13,-0.37,-0.18,0.51,0.66,243.43,-0.37,0.37,0.59,0.78,315.00,0.00,0.00,0.49,0.49,0.00,-0.37,0.00,0.54,0.65,270.00,0.00,0.00,0.59,0.59,0.00
20201120_09:14:33.99,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.37,0.00,0.34,0.50,90.00,0.73,-0.37,0.24,0.85,116.57,0.37,-0.73,0.34,0.89,153.43,-1.10,1.10,0.78,1.74,315.00,0.00,0.00,0.39,0.39,0.00,-0.37,0.37,0.49,0.71,315.00,0.00,-0.37,0.44,0.57,180.00,0.00,-0.18,0.47,0.50,180.00,0.00,0.18,0.51,0.55,0.00
20201120_09:14:34.51,99.9,99.9,999.9,001,0.00,-0.18,0.32,0.37,180.00,0.73,0.00,0.39,0.83,90.00,0.37,-0.37,0.29,0.59,135.00,0.37,-0.73,0.34,0.89,153.43,-0.37,0.00,0.64,0.73,270.00,0.37,0.00,0.44,0.57,90.00,0.00,0.37,0.44,0.57,0.00,0.37,-0.37,0.29,0.59,135.00,0.37,0.00,0.44,0.57,90.00,0.00,0.00,0.49,0.49,0.00
20201120_09:14:35.04,99.9,99.9,999.9,001,0.00,-0.37,0.34,0.50,180.00,0.73,0.00,0.39,0.83,90.00,0.37,-0.37,0.29,0.59,135.00,0.73,-0.73,0.39,1.11,135.00,0.37,0.37,0.69,0.86,45.00,0.37,0.00,0.44,0.57,90.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.34,0.50,90.00,0.37,0.00,0.44,0.57,90.00,0.00,0.00,0.49,0.49,0.00
20201120_09:14:35.57,99.9,99.9,999.9,001,0.00,-0.37,0.34,0.50,180.00,0.73,0.00,0.39,0.83,90.00,0.37,-0.37,0.29,0.59,135.00,0.73,-0.37,0.34,0.89,116.57,0.37,0.37,0.69,0.86,45.00,0.37,0.00,0.44,0.57,90.00,0.00,0.37,0.44,0.57,0.00,0.37,0.00,0.34,0.50,90.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.49,0.49,0.00
20201120_09:14:36.10,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.73,0.00,0.39,0.83,90.00,0.37,-0.73,0.24,0.85,153.43,0.73,-0.37,0.34,0.89,116.57,-0.37,0.37,0.59,0.78,315.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.34,0.50,90.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.49,0.49,0.00
20201120_09:14:36.62,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.37,0.00,0.34,0.50,90.00,0.37,-0.73,0.24,0.85,153.43,0.37,-0.37,0.29,0.59,135.00,-0.37,0.37,0.59,0.78,315.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.34,0.50,90.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.49,0.49,0.00
20201120_09:14:37.15,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.37,0.00,0.34,0.50,90.00,0.00,-0.73,0.20,0.76,180.00,0.37,-0.37,0.29,0.59,135.00,0.00,0.37,0.54,0.65,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,-0.37,0.00,0.44,0.57,270.00
20201120_09:14:37.68,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.37,0.00,0.34,0.50,90.00,0.00,-0.73,0.20,0.76,180.00,0.37,-0.37,0.29,0.59,135.00,1.10,0.37,0.59,1.30,71.57,0.00,0.00,0.39,0.39,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:14:38.20,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.37,0.00,0.34,0.50,90.00,0.00,-0.73,0.20,0.76,180.00,0.37,-0.37,0.29,0.59,135.00,0.00,0.00,0.49,0.49,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.34,0.50,90.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:14:38.73,99.9,99.9,999.9,001,-0.37,0.37,0.29,0.59,315.00,0.37,0.37,0.29,0.59,45.00,0.37,-0.73,0.24,0.85,153.43,0.37,0.00,0.34,0.50,90.00,0.00,0.00,0.49,0.49,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.37,-0.37,0.29,0.59,135.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:14:39.26,99.9,99.9,999.9,001,-0.37,0.37,0.29,0.59,315.00,0.37,0.37,0.29,0.59,45.00,0.37,-0.37,0.29,0.59,135.00,0.37,0.00,0.34,0.50,90.00,0.37,1.10,0.59,1.30,18.43,0.00,0.37,0.44,0.57,0.00,0.00,0.37,0.44,0.57,0.00,0.37,-0.18,0.32,0.52,116.57,0.00,0.73,0.49,0.88,0.00,0.00,-0.37,0.44,0.57,180.00
20201120_09:14:39.78,99.9,99.9,999.9,001,-0.37,0.00,0.24,0.44,270.00,0.37,0.37,0.29,0.59,45.00,0.37,-0.37,0.29,0.59,135.00,0.00,-0.37,0.34,0.50,180.00,0.37,0.73,0.64,1.04,26.57,0.00,0.37,0.44,0.57,0.00,0.00,0.37,0.44,0.57,0.00,0.00,-0.55,0.42,0.69,180.00,0.00,0.73,0.49,0.88,0.00,0.00,-0.37,0.44,0.57,180.00
20201120_09:14:40.31,99.9,99.9,999.9,001,-0.37,0.00,0.24,0.44,270.00,0.37,0.37,0.29,0.59,45.00,0.37,-0.73,0.24,0.85,153.43,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.59,0.94,0.00,0.00,0.91,0.51,1.05,0.00,0.00,0.00,0.49,0.49,0.00,0.00,-0.73,0.39,0.83,180.00,0.00,0.37,0.54,0.65,0.00,0.00,0.00,0.49,0.49,0.00
20201120_09:14:40.84,99.9,99.9,999.9,001,-0.37,0.37,0.29,0.59,315.00,0.73,0.37,0.34,0.89,63.43,0.37,-0.37,0.29,0.59,135.00,0.00,0.00,0.39,0.39,0.00,0.37,1.10,0.69,1.34,18.43,0.00,0.00,0.49,0.49,0.00,0.00,-0.37,0.44,0.57,180.00,0.00,-0.18,0.47,0.50,180.00,0.00,0.00,0.49,0.49,0.00,0.00,-0.37,0.44,0.57,180.00
20201120_09:14:41.37,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.73,0.37,0.34,0.89,63.43,0.37,-0.73,0.34,0.89,153.43,0.00,0.00,0.39,0.39,0.00,0.37,1.10,0.69,1.34,18.43,0.00,0.37,0.44,0.57,0.00,0.00,-0.37,0.44,0.57,180.00,0.00,-0.18,0.47,0.50,180.00,0.00,0.00,0.49,0.49,0.00,0.00,-0.37,0.44,0.57,180.00
20201120_09:14:41.89,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.73,0.73,0.39,1.11,45.00,0.37,-0.73,0.34,0.89,153.43,0.00,0.00,0.39,0.39,0.00,1.10,1.10,0.78,1.74,45.00,0.37,0.37,0.49,0.71,45.00,0.00,0.00,0.49,0.49,0.00,0.00,-0.18,0.47,0.50,180.00,0.00,0.00,0.49,0.49,0.00,0.00,-0.37,0.44,0.57,180.00
20201120_09:14:42.42,99.9,99.9,999.9,001,0.00,0.37,0.34,0.50,0.00,0.73,0.73,0.49,1.14,45.00,0.37,-0.73,0.34,0.89,153.43,0.00,0.00,0.39,0.39,0.00,1.10,1.10,0.78,1.74,45.00,0.37,0.00,0.54,0.65,90.00,0.00,0.00,0.49,0.49,0.00,0.00,-0.18,0.47,0.50,180.00,0.00,0.00,0.49,0.49,0.00,0.37,0.37,0.49,0.71,45.00
20201120_09:14:42.95,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.73,0.37,0.44,0.93,63.43,0.37,-0.37,0.29,0.59,135.00,0.00,-0.37,0.34,0.50,180.00,0.37,1.10,0.69,1.34,18.43,0.37,0.37,0.49,0.71,45.00,0.00,-0.37,0.44,0.57,180.00,0.73,-0.18,0.47,0.89,104.04,0.00,0.00,0.49,0.49,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:14:43.47,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,0.37,0.73,0.54,0.98,26.57,0.37,-0.37,0.29,0.59,135.00,0.00,-0.37,0.34,0.50,180.00,1.10,1.46,0.73,1.97,36.87,0.37,0.73,0.54,0.98,26.57,0.00,0.00,0.49,0.49,0.00,0.00,-0.18,0.47,0.50,180.00,0.00,-0.37,0.44,0.57,180.00,0.00,0.00,0.39,0.39,0.00
20201120_09:14:44.00,99.9,99.9,999.9,001,-0.37,0.00,0.24,0.44,270.00,0.37,0.73,0.54,0.98,26.57,0.37,-0.37,0.29,0.59,135.00,0.00,-0.37,0.34,0.50,180.00,1.10,1.46,0.73,1.97,36.87,0.37,0.73,0.54,0.98,26.57,0.00,0.37,0.44,0.57,0.00,0.00,0.18,0.42,0.45,0.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:14:44.53,99.9,99.9,999.9,001,0.00,0.18,0.22,0.29,0.00,0.37,1.10,0.49,1.26,18.43,0.73,-0.37,0.24,0.85,116.57,0.00,-0.37,0.34,0.50,180.00,1.10,1.10,0.69,1.70,45.00,0.37,0.00,0.44,0.57,90.00,0.00,0.00,0.39,0.39,0.00,0.00,0.18,0.42,0.45,0.00,0.00,-0.18,0.37,0.41,180.00,0.00,0.00,0.39,0.39,0.00
20201120_09:14:45.05,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.00,1.10,0.44,1.18,0.00,0.73,-0.37,0.24,0.85,116.57,0.37,-0.37,0.29,0.59,135.00,0.73,1.10,0.64,1.46,33.69,0.37,0.55,0.51,0.84,33.69,0.00,1.10,0.54,1.22,0.00,0.00,0.91,0.51,1.05,0.00,0.37,0.18,0.47,0.62,63.43,0.00,0.00,0.39,0.39,0.00
20201120_09:14:45.58,99.9,99.9,999.9,001,-0.37,0.37,0.29,0.59,315.00,0.00,1.10,0.44,1.18,0.00,0.73,-0.37,0.24,0.85,116.57,0.37,-0.37,0.29,0.59,135.00,0.73,0.73,0.59,1.19,45.00,0.37,0.73,0.54,0.98,26.57,0.00,1.10,0.54,1.22,0.00,0.00,0.91,0.51,1.05,0.00,0.37,0.37,0.49,0.71,45.00,0.00,0.55,0.47,0.72,0.00
20201120_09:14:46.11,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.00,1.10,0.44,1.18,0.00,0.73,-0.37,0.24,0.85,116.57,0.37,0.00,0.34,0.50,90.00,0.73,0.73,0.59,1.19,45.00,0.37,0.73,0.54,0.98,26.57,0.00,1.10,0.54,1.22,0.00,0.00,0.55,0.47,0.72,0.00,0.37,0.37,0.49,0.71,45.00,0.00,0.55,0.47,0.72,0.00
20201120_09:14:46.63,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.37,1.10,0.39,1.22,18.43,0.73,-0.37,0.24,0.85,116.57,0.00,0.00,0.29,0.29,0.00,0.73,0.37,0.54,0.98,63.43,0.37,0.73,0.54,0.98,26.57,0.00,1.10,0.54,1.22,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:14:47.16,99.9,99.9,999.9,001,0.00,0.37,0.24,0.44,0.00,0.37,0.73,0.34,0.89,26.57,0.73,-0.73,0.20,1.05,135.00,0.00,0.00,0.29,0.29,0.00,0.73,0.37,0.54,0.98,63.43,0.00,0.37,0.44,0.57,0.00,0.00,0.73,0.49,0.88,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.73,0.49,0.88,0.00
