100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20210401_13:02:19.13,99.9,99.9,999.9,001,1.10,1.83,-1.18,2.43,210.96,2.74,4.39,-0.42,5.19,212.01,-4.20,-0.00,-0.02,4.20,90.00,-1.10,7.31,0.83,7.44,171.47,2.01,5.12,-0.17,5.50,201.45,0.73,9.14,-0.15,9.17,184.57,4.39,7.31,-1.47,8.65,210.96,0.73,6.21,-1.13,6.36,186.71,-5.12,-3.66,-2.94,6.94,54.46,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:19.66,99.9,99.9,999.9,001,1.10,1.83,-1.18,2.43,210.96,2.56,4.39,-0.44,5.10,210.26,-4.02,0.73,0.05,4.09,100.30,-1.46,7.31,0.78,7.50,168.69,2.92,5.12,-0.29,5.90,209.74,0.73,9.14,-0.15,9.17,184.57,4.39,7.31,-1.47,8.65,210.96,0.73,6.21,-1.13,6.36,186.71,-5.12,-3.66,-2.94,6.94,54.46,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:20.18,99.9,99.9,999.9,001,1.10,1.83,-1.18,2.43,210.96,3.84,4.39,-0.61,5.86,221.19,-4.02,1.10,-0.00,4.17,105.26,-1.46,4.02,0.34,4.29,160.02,2.92,4.39,-0.39,5.29,213.69,1.64,9.14,-0.27,9.29,190.20,4.39,7.31,-1.47,8.65,210.96,-5.48,6.21,-1.96,8.52,138.58,-5.12,-3.66,-2.94,6.94,54.46,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:20.71,99.9,99.9,999.9,001,1.10,1.83,-1.18,2.43,210.96,3.47,4.39,-0.66,5.63,218.37,-4.39,1.10,-0.05,4.52,104.04,-1.46,5.30,0.51,5.52,164.58,2.92,2.92,-0.15,4.14,225.00,1.64,9.14,-0.27,9.29,190.20,4.39,7.31,-1.47,8.65,210.96,-5.48,6.21,-1.96,8.52,138.58,-5.12,-0.37,-3.38,6.14,85.91,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:21.24,99.9,99.9,999.9,001,1.10,1.83,-1.18,2.43,210.96,3.84,4.39,-0.61,5.86,221.19,-4.39,1.10,-0.05,4.52,104.04,-1.46,5.30,0.51,5.52,164.58,-1.10,1.64,0.56,2.06,146.31,1.64,9.14,-0.27,9.29,190.20,4.39,7.31,-1.47,8.65,210.96,-5.48,6.21,-1.96,8.52,138.58,-5.12,-0.37,-3.38,6.14,85.91,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:21.76,99.9,99.9,999.9,001,1.10,1.83,-1.18,2.43,210.96,4.20,4.93,-0.64,6.51,220.43,-4.39,1.46,-0.10,4.62,108.43,-1.46,5.30,0.51,5.52,164.58,-1.10,1.64,0.56,2.06,146.31,1.64,9.14,-0.27,9.29,190.20,4.39,7.31,-1.47,8.65,210.96,-5.12,6.21,-2.01,8.30,140.53,-5.12,-0.18,-3.40,6.15,87.95,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:22.29,99.9,99.9,999.9,001,1.10,-0.37,-1.47,1.87,288.43,4.93,5.48,-0.81,7.42,221.99,-4.93,1.46,-0.02,5.15,106.50,-2.01,5.30,0.44,5.69,159.23,-1.10,2.38,0.47,2.66,155.22,1.64,9.14,-0.27,9.29,190.20,4.39,7.31,-1.47,8.65,210.96,-5.12,6.21,-2.01,8.30,140.53,-5.12,-0.37,-3.38,6.14,85.91,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:22.82,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,4.93,5.48,-0.81,7.42,221.99,-4.75,1.46,-0.15,4.97,107.10,-1.46,5.30,0.51,5.52,164.58,-1.10,2.38,0.47,2.66,155.22,1.64,9.14,-0.27,9.29,190.20,4.39,8.77,-1.67,9.95,206.57,-5.85,6.21,-1.91,8.74,136.74,-12.06,-0.37,-2.45,12.31,88.26,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:23.34,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,4.93,5.48,-0.81,7.42,221.99,-4.75,1.46,-0.15,4.97,107.10,-1.46,5.30,0.51,5.52,164.58,-1.83,2.56,0.39,3.17,144.46,1.64,9.14,-0.27,9.29,190.20,-0.73,8.77,-0.98,8.86,175.24,-5.85,6.21,-1.91,8.74,136.74,-12.06,-0.37,-2.45,12.31,88.26,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:23.87,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,1.10,5.12,-0.34,5.24,192.09,-5.12,1.46,-0.20,5.33,105.95,-1.46,5.30,0.51,5.52,164.58,-0.91,2.56,0.07,2.72,160.35,-1.46,9.14,0.15,9.26,170.91,-5.85,10.23,-0.49,11.80,150.26,-5.85,6.21,-1.91,8.74,136.74,-12.06,-0.37,-2.45,12.31,88.26,-1.46,-0.73,-1.47,2.20,63.43
